InteractorA,Relation,InteractorB,PMID
AURKB,inhibitor,AZD 1152,
NR3C2,agonist,FLUDROCORTISONE,
GABRA4,positive modulator,HALOTHANE,
GHSR,antagonist,YIL781,
FGFR4,inhibitor,FUTIBATINIB,
CDK2,inhibitor,BX-912,
OPRM1,antagonist,(-)-BREMAZOCINE,
GRIN2B,antagonist,CERC-301,
FYN,inhibitor,PEXMETINIB,
IGF2,inhibitor,DUSIGITUMAB,
ADRA2A,agonist,EPINEPHRINE,
BDKRB1,agonist,KALLIDIN,
SCN8A,blocker,PHENAZOPYRIDINE HYDROCHLORIDE,
F2R,agonist,F16357,
PIK3CA,inhibitor,ALPELISIB,
KCNH6,blocker,GUANIDINE HYDROCHLORIDE,
NR3C2,agonist,AZD9567,
SCN9A,blocker,TOPIRAMATE,
ADORA2A,agonist,CV-1674,
SCN2A,blocker,QUINIDINE POLYGALACTURONATE,
GRIN3A,antagonist,AMANTADINE HYDROCHLORIDE,
CCR5,agonist,CCL14,
GABRA4,agonist,GABOXADOL,
GABRA5,allosteric modulator,ONO-8590580,
HRH2,agonist,BURIMAMIDE,
GABRR1,antagonist,TPMPA,
HTR3D,antagonist,TEDATIOXETINE,
GABRP,positive modulator,METHARBITAL,
DRD2,agonist,APOMORPHINE,
S1PR5,agonist,AUY954,
GRM7,allosteric modulator,ADX71743,
FDFT1,inhibitor,COMPOUND 32,19191557
PTGS2,inhibitor,AMINOSALICYLATE SODIUM,
EPHA6,inhibitor,VANDETANIB,
PSMD12,inhibitor,CARFILZOMIB,
PROKR1,agonist,[125I]BH-MIT1,
AKT1,inhibitor,IPATASERTIB,
CNR2,antagonist,AM-630,
PTK2,inhibitor,CEP-37440,
GABRP,positive modulator,DESFLURANE,
HTR1A,antagonist,[3H]WAY100635,
GRM5,allosteric modulator,GSK2210875,
GRIA3,allosteric modulator,CYCLOTHIAZIDE,
GRM6,antagonist,MPPG,
PSENEN,inhibitor,MK0752,
FURIN,inhibitor,PEPTIDE 18,24350995
ATP1B1,inhibitor,DIGITOXIN,
SCN5A,blocker,ROPIVACAINE HYDROCHLORIDE,
NR3C1,agonist,FLUMETHASONE PIVALATE,
HTR2C,antagonist,MESORIDAZINE,
MET,antibody,ONARTUZUMAB,
HTR2C,agonist,YM348,
KDR,inhibitor,VANDETANIB,
HSD17B2,inhibitor,COMPOUND 24,31343176
KDR,inhibitor,TELATINIB,
KDR,inhibitor,BRIVANIB,
PTGER3,agonist,U46619,
NDUFV3,inhibitor,ME-344,
ADORA2B,antagonist,I-ABOPX,
GRIN2B,antagonist,ORPHENADRINE CITRATE,
PPARG,agonist,[125I]SB-236636,
CHRM1,allosteric modulator,BRUCINE N-OXIDE,
TNKS,inhibitor,COMPOUND 5,
RIPK1,inhibitor,RIPK1 INHIBITOR 22B,
DYRK1B,inhibitor,COMPOUND 68,24900699
PDGFRA,inhibitor,NINTEDANIB ESYLATE,
GSK3A,inhibitor,LY-2090314,
UGCG,inhibitor,MIGLUSTAT,
GABRB2,positive modulator,PROPOFOL,
PTGS2,inhibitor,BALSALAZIDE DISODIUM,
CHRM1,antagonist,TRIDIHEXETHYL CHLORIDE,
HDAC8,inhibitor,APICIDIN,
AVPR1B,agonist,"[3H]OT (HUMAN, MOUSE, RAT)",
KIT,inhibitor,MASITINIB,
HTR1A,agonist,NAFADOTRIDE,
FLT1,inhibitor,CDK1/2 INHIBITOR III,
ADORA2B,agonist,CL-IB-MECA,
ADRA1B,antagonist,5-METHYLURAPIDIL,
ATAD2B,inhibitor,COMPOUND 23,31398032
ADRA2C,antagonist,[3H]MK-912,
PDGFRB,inhibitor,DOVITINIB,
PPARG,agonist,LG100754,
OPRM1,agonist,3F-MT-45,
DRD5,agonist,PERGOLIDE MESYLATE,
SMO,antagonist,BMS-833923,
HDAC8,inhibitor,ENTINOSTAT,
CACNA1S,blocker,NISOLDIPINE,
KCNK2,activator,GIÛ530159,
ADORA1,antagonist,8-CYCLOPENTYLTHEOPHYLLINE,
VEGFA,antagonist,PEGAPTANIB SODIUM,
SSTR2,agonist,"L-054,522",
CACNA1H,blocker,NI2+,
PIK3CA,inhibitor,BUPARLISIB,
PIK3R5,inhibitor,PA-799,
AURKC,inhibitor,AMG-900,
CHRM1,antagonist,AQ-RA 741,
EGFR,inhibitor,VANDETANIB,
TRPV1,activator,5S-HETE,
HTR5A,agonist,[125I]LSD,
ATP1A1,inhibitor,DESLANOSIDE,
PIK3CB,inhibitor,OMIPALISIB,
PIK3CG,inhibitor,BGT-226,
MET,inhibitor,ALECTINIB,
HRH1,antagonist,LORATADINE,
PLK1,inhibitor,BI-2536,
TP53,vaccine,EP-2101,
FLT1,inhibitor,SUNITINIB,
ADAM33,inhibitor,IK-862,
GUCY1B2,activator,NITRIC OXIDE,
TRPV1,blocker,NADA,
PIK3CG,inhibitor,RP-6530,
PIK3R3,inhibitor,DS-7423,
ESR1,antagonist,FULVESTRANT,
ADRB1,agonist,MEPHENTERMINE SULFATE,
CCR5,antibody,LERONLIMAB,
CHRM3,antagonist,HEXOCYCLIUM,
ERBB4,inhibitor,DACOMITINIB,
SPR,inhibitor,SPRI3,
CXCR3,antagonist,HYPOGLAUCIN A,
MLNR,agonist,MOTILIN-(1-11) (HUMAN),
CHRM1,allosteric modulator,STRYCHNINE,
TNFSF13B,inhibitor,BELIMUMAB,
MTNR1B,agonist,S26284,
AXL,inhibitor,GILTERITINIB,
CCR3,antagonist,CXCL9,
TOP2A,inhibitor,DOXORUBICIN HYDROCHLORIDE,
PARP2,inhibitor,ABT-888,
CALCR,antagonist,CT-(8-32) (SALMON),
KCNC4,blocker,TEDISAMIL,
CHEK2,inhibitor,7-HYDROXYSTAUROSPORINE,
MMP3,inhibitor,CM-352,
HTR2C,agonist,METHYLERGONOVINE,
ITK,inhibitor,ACALABRUTINIB,
HMGCS1,inhibitor,(S)-3-HYDROXY-3-METHYLGLUTARYL-COA,
TRPC3,blocker,KB-R7943,
ADORA1,antagonist,PSB1115,
RET,inhibitor,SUNITINIB,
ERBB2,inhibitor,CUDC-101,
BRD4,inhibitor,ARV-771,
PLK1,inhibitor,VOLASERTIB,
ASIC1,blocker,ETHYLISOPROPYLAMILORIDE,
ACHE,inhibitor,DONEPEZIL HYDROCHLORIDE,
CHRM1,allosteric modulator,N-CHLOROMETHYL-BRUCINE,
HTR1D,agonist,SB 216641,
PTGS1,inhibitor,KETOPROFEN,
NPR3,agonist,PL-3994,
TGFBR1,agonist,H. POLYGYRUS TGF-ëÕ MIMIC,
SLC6A3,inhibitor,DESVENLAFAXINE,
AKR1B1,inhibitor,TOLRESTAT,
CHRM1,antagonist,OXYPHENCYCLIMINE HYDROCHLORIDE,
FGFR3,inhibitor,DOVITINIB,
MAP2K2,inhibitor,PD0325901,
MAPK14,inhibitor,PF-03715455,
HTR3A,antagonist,PALONOSETRON HYDROCHLORIDE,
AURKB,inhibitor,AT9283,
GRIN2C,antagonist,[3H]CGP61594,
SCN1A,blocker,OXCARBAZEPINE,
PIK3R4,inhibitor,DACTOLISIB,
GJC1,inhibitor,CA2+,
SSTR5,agonist,BIM 23197,
SCN1A,blocker,QUINIDINE SULFATE,
SCN2A,blocker,LAMOTRIGINE,
JAK2,inhibitor,AT9283,
PLK4,inhibitor,HESPERADIN,
XIAP,antagonist,HGS 1029,
FLT4,inhibitor,FRUQUINTINIB,
ACVR1,inhibitor,EXAMPLE 11,
AVPR2,antagonist,D(CH2),
KDR,inhibitor,DOVITINIB,
HSP90AB1,inhibitor,LUMINESPIB,
CHRM4,agonist,CARBACHOL,
CRBN,inhibitor,LENALIDOMIDE,
RAMP3,agonist,PRAMLINTIDE ACETATE,
MTOR,inhibitor,PI-103,
SLC6A9,inhibitor,GSK931145,
SCN5A,blocker,ZONISAMIDE,
PIK3CD,inhibitor,RV6153,
TRPC5,activator,PB2+,
CASP6,inhibitor,Z-VEID-FMK,
KIT,inhibitor,AST-487,
PTGS2,inhibitor,DICLOFENAC,
ABL1,inhibitor,BAFETINIB,
OPRM1,agonist,OXYMORPHONE HYDROCHLORIDE,
PTGFR,agonist,FLUPROSTENOL,
KDR,inhibitor,KRN-633,
DRD1,agonist,CABERGOLINE,
OPRL1,antagonist,LY2940094,
JAK3,inhibitor,PF-06263276,
FLT4,inhibitor,SUNITINIB,
FLT1,inhibitor,NINTEDANIB ESYLATE,
GABRB2,positive modulator,ESTAZOLAM,
FLT1,inhibitor,CS2164,
CRHR1,antagonist,VERUCERFONT,
ADORA2B,antagonist,"CAFFEINE, CITRATED",
SCN8A,blocker,MORICIZINE HYDROCHLORIDE,
HRH2,antagonist,RANITIDINE BISMUTH CITRATE,
ABL1,inhibitor,DASATINIB,
PIK3CD,inhibitor,LINPERLISIB,
KIR2DL2,inhibitor,LIRILUMAB,
TRPM2,blocker,ZN2+,
PSMD9,inhibitor,CARFILZOMIB,
MET,inhibitor,GOLVATINIB,
OPRK1,antagonist,SAMIDORPHAN,
SCN2A,blocker,RUFINAMIDE,
PTGDR2,antagonist,ADC3680,
GABRD,positive modulator,PROPOFOL,
PSMB8,inhibitor,CARFILZOMIB,
OPRD1,agonist,DSTBULET,
UTS2R,antagonist,COMPOUND 1A,18573659
TRPC5,activator,AM237,
GABRG3,positive modulator,FLURAZEPAM HYDROCHLORIDE,
GABRA6,positive modulator,THIOPENTAL SODIUM,
LPAR3,antagonist,FARNESYL DIPHOSPHATE,
CHRNA7,agonist,ABT-126,
HTR1D,antagonist,S33084,
AKT2,inhibitor,COMPOUND E22,31298542
SSTR2,agonist,DC 23-60,
RXFP4,agonist,HINSL5: A8-21 (T9R),
MINK1,inhibitor,PEXMETINIB,
DRD3,antagonist,SERTINDOLE,
GNRHR,antagonist,Relugolix,
SPR,antagonist,NETUPITANT,
PIK3CD,inhibitor,SAR260301,
GSR,inhibitor,CARMUSTINE,
PPARG,agonist,TAGITININ A,
S1PR5,agonist,FINGOLIMOD-PHOSPHATE,
DRD2,"agonist,antagonist",ROXINDOLE,
OXTR,agonist,OXYTOCIN,
F2RL1,agonist,SLIGRL-NH2,
EDNRA,antagonist,CLAZOSENTAN,
PIK3CG,inhibitor,BGT-226,
NMUR2,agonist,[125I]NEUROMEDIN U-8 (PIG),
HTR2B,antagonist,TEGASEROD,
GSK3B,inhibitor,KENPAULLONE,
PLA2G1B,inhibitor,COMPOUND 28XVII,8809154
RET,inhibitor,QUIZARTINIB,
PRMT8,inhibitor,MS049,
PTH1R,agonist,PTHRP-(1-36),
CACNA1S,blocker,DILTIAZEM MALATE,
GABRA4,positive modulator,SECOBARBITAL SODIUM,
ADRA1B,antagonist,L-765314,
LYN,inhibitor,AS703569,
OPRK1,agonist,CEBRANOPADOL,
MAP2K1,inhibitor,RG-7420,
INSR,agonist,INSULIN PORK,
ADRA1B,agonist,EPINEPHRINE BITARTRATE,
JAK1,inhibitor,JAK INHIBITOR 17B,
HTR7,antagonist,DR-4004,
PRKACB,inhibitor,GSK-690693,
OPRM1,agonist,HYDROMORPHONE,
TUBB2B,inhibitor,LEXIBULIN,
TUBB1,inhibitor,DOCETAXEL HYDRATE,
PTH1R,agonist,"[ILE5,TRP23,TYR36]PTHRP-(1-36)-NH2 (HUMAN)",
HTR2C,antagonist,MIRTAZAPINE,
PDGFRB,inhibitor,TAK-632,
DRD5,antagonist,FLUPHENAZINE,
OPRM1,agonist,Buprenorphine Hydrochloride,
HRH1,antagonist,BROMODIPHENHYDRAMINE HYDROCHLORIDE,
ITGB7,antagonist,ETROLIZUMAB,
PDE2A,activator,CYCLIC GMP,
GRM2,allosteric modulator,COMPOUND 34,20409708
PIK3CG,inhibitor,LY-3023414,
GLS,inhibitor,TELAGLENASTAT,
TOP2A,inhibitor,BECATECARIN,
MINK1,inhibitor,PF-03715455,
CDK12,inhibitor,AZD-5438,
STK38,inhibitor,COMPOUND 35,20684608
PARP2,inhibitor,VELIPARIB,
TYK2,inhibitor,ILGINATINIB,
MC1R,agonist,SHU9119,
SLCO1C1,inhibitor,DPDPE,
SCN11A,blocker,MEPHENYTOIN,
CACNA1G,modulator,IMAGABALIN,
FLT3,inhibitor,SUNITINIB,
GLP1R,agonist,PEPTIDE 5,28562585
HTR1A,agonist,"LY 165,163",
HDAC5,inhibitor,ROMIDEPSIN,
HTR1D,agonist,5-CT,
PSMD1,inhibitor,IXAZOMIB CITRATE,
MTOR,inhibitor,PKI-587,
SCN11A,blocker,NW-3509,
MMP13,inhibitor,COMPOUND 15,22017539
MAP2K4,inhibitor,COMPOUND 11,26431428
TUBA3D,inhibitor,BRENTUXIMAB VEDOTIN,
HTR2C,agonist,BROLAMFETAMINE,
KCNN1,activator,CA2+,
ESRRA,antagonist,COMPOUND 1A,17556356
GRIN2D,antagonist,SELFOTEL,
CXCR4,antagonist,T22,
ADORA2A,antagonist,PRELADENANT,
RPS6KB1,inhibitor,XL-418,
DRD5,antagonist,AMOXAPINE,
PSMA2,inhibitor,BORTEZOMIB,
KCNB2,inhibitor,RY796,
SLC5A1,inhibitor,CANAGLIFLOZIN,
RET,inhibitor,ALECTINIB HYDROCHLORIDE,
PKN2,inhibitor,COMPOUND 32,20471253
GRIA1,blocker,JORO TOXIN,
PSMB5,inhibitor,BORTEZOMIB,
OPRK1,agonist,U69593,
SCN9A,inhibitor,N-ME-AMINOPYRIMIDINONE 9,
RXFP1,agonist,[33P]RELAXIN (HUMAN),
PI4K2B,inhibitor,ADENOSINE,
GRIN3A,positive modulator,NEBOGLAMINE,
BRAF,inhibitor,PLX-8394,
GLRB,blocker,GINKGOLIDE B,
AURKC,inhibitor,AMG900,
BACE1,inhibitor,RO5508887,
TRPA1,activator,CU2+,
FLT1,inhibitor,VANDETANIB,
TACR3,antagonist,GSK 256471,
GALR1,agonist,GAL-B2-C8,
FLT4,inhibitor,CP-459632,
MTNR1A,agonist,CBOBNEA,
DRD1,agonist,PERGOLIDE,
PIK3CA,inhibitor,SAMOTOLISIB,
ADRA1B,antagonist,TAMSULOSIN HYDROCHLORIDE,
ADORA3,agonist,CL-IB-MECA,
CYSLTR2,antagonist,[3H]ICI-198615,
YES1,inhibitor,ECF506,
ADRB3,agonist,ISOPRENALINE,
PIK3CD,inhibitor,DACTOLISIB,
CHRM4,antagonist,ATROPINE,
CCKBR,agonist,A-71378,
HTR1A,agonist,APOMORPHINE,
VNN1,inhibitor,EXAMPLE 25,
TRPA1,activator,METHYL ISOCYANATE,
TLR9,agonist,AGATOLIMOD,
HRH4,antagonist,PF-03893787,
CTSD,inhibitor,COMPOUND 1,10498202
RXFP4,agonist,[125I]INSL5 (HUMAN),
PTGS1,inhibitor,PIROXICAM,
PTGDR2,agonist,15(R)-15-METHYL-PGD2,
MC4R,agonist,MT-II,
MAP2K2,inhibitor,SELUMETINIB,
PPARA,agonist,CLOFIBRATE,
TNK1,inhibitor,XILIERTINIB,
CCKAR,antagonist,LINTITRIPT,
FFAR4,agonist,GW9508,
PIK3CD,inhibitor,DUVELISIB,
CACNG4,modulator,GABAPENTIN ENACARBIL,
GPC3,antibody,CODRITUZUMAB,
CHRM1,agonist,LY593093,
IL23A,inhibitor,GUSELKUMAB,
GRIN2D,antagonist,AZD8108,
PDE4D,inhibitor,DIFAMILAST,
SSTR5,agonist,[125I]TYR11-SRIF-14,
CACNA2D4,modulator,IMAGABALIN,
OPRM1,agonist,OXYCODEGOL,
HTR1A,agonist,QUETIAPINE,
PTGFR,agonist,ENPROSTIL,
PIK3CB,inhibitor,FIMEPINOSTAT,
NTSR2,agonist,JMV2004,
DNMT3A,inhibitor,AZACITIDINE,
CALCR,agonist,ëÕ-CGRP,
OXER1,agonist,[3H]5-OXO-ETE,
MMP9,inhibitor,MARIMASTAT,
AURKC,inhibitor,TTP-607,
HCRTR1,antagonist,COMPOUND 11,15261275
APLNR,antagonist,ALX40-4C,
CSF3R,agonist,FILGRASTIM,
CD74,antibody,MILATUZUMAB,
KDR,inhibitor,FRUQUINTINIB,
AKT1,inhibitor,TRICIRIBINE PHOSPHATE,
ADRA1A,antagonist,SNAP5089,
BRAF,inhibitor,VEMURAFENIB,
GABRD,agonist,MEPROBAMATE,
GRIN2B,agonist,D-SERINE,
ANGPT2,antibody,CVX-060,
PGR,agonist,NORETHYNODREL,
CALCR,agonist,ADRENOMEDULLIN 2/INTERMEDIN,
CHRM1,allosteric modulator,STAUROSPORINE,
RARG,agonist,CD666,
ADRA2C,agonist,EPINEPHRINE BITARTRATE,
PIM2,inhibitor,COMPOUND 14K,21982499
PTGDR,agonist,PGE2,
CDC42BPA,inhibitor,COMPOUND 11D, 10.1039/C0MD00194E
KIT,inhibitor,MIDOSTAURIN,
KDM5A,inhibitor,PBIT,
CXCR2,agonist,CXCL1,
HTR2A,agonist,8-OH-DPAT,
PSEN2,inhibitor,MK0752,
NMUR1,agonist,CPN-267,
KCNJ4,blocker,SCH-23390,
PTGER2,agonist,PGN-9856,
CHRM1,antagonist,PROPANTHELINE,
RRM2,inhibitor,CLOFARABINE,
RARA,modulator,MOFAROTENE,
HDAC2,inhibitor,VORINOSTAT,
PTGER4,antagonist,ONO-AE3-208,
CDK4,inhibitor,CGP74514A,
GRIN1,antagonist,AZD8108,
PARP2,inhibitor,VELIPARIB,
ERBB3,antibody,MM121,
HRH2,antagonist,CIMETIDINE,
GALR3,agonist,[125I,
MTOR,inhibitor,APITOLISIB,
ADORA2A,agonist,2-HEXYNYL-NECA,
CHRNB1,antagonist,ROCURONIUM BROMIDE,
PDGFRA,inhibitor,PAZOPANIB HYDROCHLORIDE,
FLT3,inhibitor,TAFETINIB,
CHRM3,antagonist,LITHOCHOLYLCHOLINE,
PTGER2,allosteric modulator,COMPOUND 1,20080612
AR,agonist,DIHYDROTESTOSTERONE,
HTT,inhibitor,VORTIOXETINE HYDROBROMIDE,
KCNC3,blocker,NERISPIRDINE,
CHRM4,allosteric modulator,LY2119620,
AQP10,inhibitor,HG2+,
IL1RL2,antibody,MAB92,
SLC6A2,inhibitor,DULOXETINE,
IL2RB,inhibitor,BASILIXIMAB,
BRD4,inhibitor,(+)-JQ1,
CYSLTR1,antagonist,VERLUKAST,
KIT,inhibitor,SUNITINIB,
PDGFRB,inhibitor,MK-2461,
BTK,inhibitor,GDC-0834,
P2RY14,antagonist,MRS4458,
RXRA,agonist,ALITRETINOIN,
PIK3CB,inhibitor,DS-7423,
PRKD1,inhibitor,CEP-2563,
PDGFRB,inhibitor,AXITINIB,
HDAC7,inhibitor,PANOBINOSTAT,
PIK3R2,inhibitor,BYL719,
MAP3K8,inhibitor,MEK INHIBITOR II,
VIPR1,agonist,BAY 55-9837,
GABRG2,positive modulator,MIDAZOLAM HYDROCHLORIDE,
NDUFB8,inhibitor,NV-128,
IGF1R,antibody,DALOTUZUMAB,
GPR17,agonist,LTD4,
GPR84,agonist,UNDECANOIC ACID,
TNK2,inhibitor,NIK INHIBITOR 12F,
ADH1B,inhibitor,FOMEPIZOLE,
GRM1,allosteric modulator,COMPOUND 23I,17929793
FGFR1,inhibitor,ERDAFITINIB,
PIK3R1,inhibitor,ZSTK-474,
PPARG,agonist,REGLITAZAR,
HTT,antagonist,GSK163090,
PSMD13,inhibitor,OPROZOMIB,
ADORA3,antagonist,TONAPOFYLLINE,
NR3C2,antagonist,PF-03882845,
ADRA1A,antagonist,MIANSERIN,
KCNN1,activator,RILUZOLE,
ADRA1B,agonist,ALFUZOSIN HYDROCHLORIDE,
PRKCH,inhibitor,(7S)-HYDROXYL-STAUROSPORINE,
MAP4K5,inhibitor,RIPK1 INHIBITOR 22B,
SLC23A1,inhibitor,PHLORETIN,
DRD3,antagonist,SULPIRIDE,
NPFFR1,antagonist,BIBP3226,
PIK3R6,inhibitor,BGJ398,
DRD4,antagonist,[3H]SPIPERONE,
GABRA3,allosteric modulator,ZK93426,
TRHR,agonist,PROTIRELIN,
ADRA1D,antagonist,SPIROXATRINE,
RARB,agonist,TRETINOIN,
FASN,inhibitor,GSK2194069,
FLT4,inhibitor,SUNITINIB,
MAOB,inhibitor,TRANYLCYPROMINE,
PDGFRA,inhibitor,MASITINIB,
JAK2,inhibitor,PF-06263276,
NPY1R,agonist,[PRO34]NPY,
ERBB2,inhibitor,NERATINIB,
GUCY1B2,activator,NITROGLYCERIN,
DHFR,inhibitor,PRALATREXATE,
CACNG4,modulator,PREGABALIN,
CASP4,inhibitor,CASP 4 INHIB,
GABRA3,positive modulator,ALPRAZOLAM,
TNF,inhibitor,GOLIMUMAB,
CTSF,inhibitor,VBY-825,
KCNN4,blocker,COMPOUND RAC-16,15603962
HTR1B,agonist,[3H]N-METHYL-AZ10419369,
ADRB2,antagonist,CICLOPROLOL,
KAT2B,inhibitor,PLUMBAGIN,
KCNJ11,inhibitor,GLIBENCLAMIDE,
MTNR1B,antagonist,4P-PDOT,
IL15,inhibitor,AMG-714,
ADRA2A,antagonist,LISURIDE,
DAGLB,inhibitor,LEI105,
GABRB3,agonist,GABOXADOL,
F10,inhibitor,BETRIXABAN,
P2RY1,antagonist,[3H]MRS2279,
HTR1D,agonist,ELETRIPTAN,
KCNJ10,blocker,NORTRIPTYLINE,
PSMA4,inhibitor,MARIZOMIB,
KCNB1,blocker,NERISPIRDINE,
TXK,inhibitor,ACALABRUTINIB,
ADRA2B,antagonist,ZOTEPINE,
IGF1R,inhibitor,NVP-TAE 226,
LCK,inhibitor,COMPOUND 36,21958547
ADCYAP1R1,agonist,VIP,
PTGER4,agonist,"13,14-DIHYDRO-PGE1",
OPRM1,agonist,CODEINE SULFATE,
BMX,inhibitor,COMPOUND 38,24915291
CYP3A43,inhibitor,COBICISTAT,
BRD4,inhibitor,COMPOUND 36,24000170
PDGFRB,inhibitor,KI-20227,
PIK3CD,inhibitor,BGT-226,
DGAT1,inhibitor,AZD7687,
EGFR,inhibitor,LAPATINIB,
CTSK,inhibitor,L873724,
C3AR1,antagonist,SB290157,
SCN4A,blocker,MEXILETINE HYDROCHLORIDE,
DYRK1A,inhibitor,COMPOUND 3B,23454515
GABRB2,positive modulator,BUTALBITAL,
PIK3CB,inhibitor,PWT-33587,
CDK4,inhibitor,TRILACICLIB,
CACNA2D3,modulator,IMAGABALIN,
PIK3R1,inhibitor,RECILISIB,
MTNR1B,agonist,GR 128107,
AR,antagonist,BICALUTAMIDE,
SSTR5,antagonist,[L-TYR8]CYN 154806,
CHRM5,antagonist,ML381,
ERBB4,inhibitor,POZIOTINIB,
YES1,inhibitor,SPEBRUTINIB,
MMP17,inhibitor,ILOMASTAT,
TRPC6,blocker,CLEMIZOLE,
HDAC2,inhibitor,CUDC-907,
ESR2,agonist,QUINESTROL,
KCNA5,blocker,FAMPRIDINE,
AURKA,inhibitor,AS703569,
GRIN3A,antagonist,GW468816,
PIK3CG,inhibitor,DACTOLISIB,
SYK,inhibitor,P505-15,
PIK3C2G,inhibitor,SF1126,
HDAC6,inhibitor,TACEDINALINE,
HRH3,"agonist,antagonist",IMPENTAMINE,
MC1R,agonist,HS014,
PSMA5,inhibitor,MARIZOMIB,
ESR1,agonist,ESTRIOL,
TUBA1B,inhibitor,TRASTUZUMAB EMTANSINE,
SSTR3,agonist,"[111IN,90Y]DOTA-LAN",
PTAFR,antagonist,SCH 40338,
PDGFRA,inhibitor,LUCITANIB,
GRM5,agonist,CHPG,
SLC6A3,inhibitor,MAZINDOL,
CCR1,agonist,[125I]CCL5 (HUMAN),
KDR,inhibitor,REGORAFENIB,
SPHK1,inhibitor,MP-A08,
ACACB,inhibitor,COMPOUND 2E,31900320
HTR2A,antagonist,MOLINDONE HYDROCHLORIDE,
PTH1R,agonist,TERIPARATIDE,
CACNA1B,modulator,GABAPENTIN ENACARBIL,
CCKAR,agonist,CCK-58,
S1PR1,agonist,PONESIMOD,
IL2RG,inhibitor,BASILIXIMAB,
PSMD14,inhibitor,BORTEZOMIB,
ADORA3,antagonist,OXTRIPHYLLINE,
MVK,inhibitor,ISOPENTENYL DIPHOSPHATE,
PSMA7,inhibitor,OPROZOMIB,
PTGDR2,antagonist,SETIPIPRANT,
DRD2,agonist,LP-211,
FLT1,inhibitor,MGCD265,
GRIN1,antagonist,GW468816,
GABRA6,positive modulator,THIAMYLAL SODIUM,
PDGFRB,inhibitor,AC710,
PIK3CD,inhibitor,INCB-40093,
ESR1,agonist,PRINABEREL,
PIK3CB,inhibitor,PANULISIB,
GNRHR,agonist,[D-LYS6]GNRH-II,
EGFR,inhibitor,BMS-690514,
PIK3R3,inhibitor,PKI-587,
FLT1,inhibitor,COMPOUND 25,17935989
INSR,inhibitor,COMPOUND 15,24900237
LTA4H,inhibitor,DG-051,
P2RY4,agonist,GUANOSINE-5'-TRIPHOSPHATE,
GABRA6,positive modulator,DIAZEPAM,
OPRL1,agonist,[F/G]N/OFQ-(1-13)-NH2,
MCOLN3,activator,SF-11,
GABRA1,positive modulator,ESTAZOLAM,
TRPM3,activator,DIHYDROSPHINGOSINE,
PSMD7,inhibitor,OPROZOMIB,
NMUR2,agonist,NEUROMEDIN S-33,
GABRB2,positive modulator,QUAZEPAM,
PPARG,antagonist,DICLOFENAC,
MAP2K1,inhibitor,AZD-8330,
SCN3A,blocker,PROPAFENONE HYDROCHLORIDE,
NR1H2,agonist,ROVAZOLAC,
EGFR,inhibitor,CUDC-101,
PAK4,inhibitor,FRAX486,
HCAR2,agonist,3-PYRIDINE-ACETIC ACID,
PDE5A,inhibitor,TADALAFIL,
SRMS,inhibitor,ILORASERTIB,
NTRK1,inhibitor,AZD-7451,
DRD1,antagonist,FLUPHENAZINE,
PTGS1,inhibitor,OLSALAZINE SODIUM,
GLRA1,antagonist,GINKGOLIDE X,
AVPR2,antagonist,BALOVAPTAN,
CHRM5,allosteric modulator,N-CHLOROMETHYL-BRUCINE,
FGFR2,inhibitor,XL228,
PTGER3,agonist,PGF2ëÔ,
ADRA2B,antagonist,ESMIRTAZAPINE MALEATE,
GJB7,inhibitor,CARBENOXOLONE,
CCR2,antagonist,CENICRIVIROC,
NR3C1,agonist,RU28362,
TACR2,antagonist,ZM 253270,
HDAC5,inhibitor,SCRIPTAID,
EP300,inhibitor,GARCINOL,
GRIN3A,partial agonist,RAPASTINEL,
AVPR2,agonist,LIT-001,
S1PR4,agonist,COMPOUND 43,26751273
EGFR,inhibitor,GEFITINIB,
CCR2,antagonist,RS-136270,
GABRA4,positive modulator,DIAZEPAM,
TRPC5,activator,GD3+,
CDK7,inhibitor,Roniciclib,
TUBB6,inhibitor,PACLITAXEL,
PRKCE,inhibitor,GSK-690693,
CXCR1,agonist,CYTOKINE DOMAIN OF TYROSYL TRNA SYNTHETASE,
HDAC2,inhibitor,PANOBINOSTAT LACTATE,
IGF1R,agonist,INSULIN-LIKE GROWTH FACTOR 1,
CNR1,antagonist,SURINABANT,
SYK,inhibitor,COMPOUND 7,22464456
DHODH,inhibitor,BREQUINAR,
ADRA1B,antagonist,MIANSERIN,
HTR7,agonist,[3H]5-HT,
SCN2A,blocker,DISOPYRAMIDE PHOSPHATE,
CACNG6,modulator,GABAPENTIN ENACARBIL,
HTR1A,antagonist,CHLORPROMAZINE,
RXRA,modulator,MOFAROTENE,
PDPK1,inhibitor,PHT-427,
CDK12,inhibitor,PHA-793887,
PTGDS,inhibitor,AT-56,
KCNH1,blocker,MK-499,
ADRA1B,agonist,NAPHAZOLINE HYDROCHLORIDE,
MTOR,inhibitor,TORIN 2,
DRD1,agonist,FENOLDOPAM,
SCN8A,blocker,ARTICAINE HYDROCHLORIDE,
CDK7,inhibitor,PHA-793887,
TUBB3,inhibitor,IXABEPILONE,
DPP8,inhibitor,TALABOSTAT,
SLC6A19,inhibitor,CINROMIDE,
DRD2,agonist,BENZQUINAMIDE,
PSMD11,inhibitor,OPROZOMIB,
VDR,agonist,LITHOCHOLIC ACID,
PPARA,agonist,MURAGLITAZAR,
TOP2B,inhibitor,C-1311,
